target,window,model,base_model,residual_model,RMSE,MAE,MAPE,NRMSE
Brent Oil,tscv_23,PatchTST,PatchTST,-,2.3080186331604096,2.0467575998942067,3.0319187355785813,3.3919826598196727
Brent Oil,tscv_23,PatchTST+XGB,PatchTST,XGB,2.5488100377503398,1.983489586554633,2.9362486509585066,3.7458620684465704
Brent Oil,tscv_24,PatchTST+LGBM,PatchTST,LGBM,3.879916659665055,3.2841305938708576,4.918497731637761,5.86774430952758
Brent Oil,tscv_24,PatchTST,PatchTST,-,4.772932008267002,4.483304988897414,6.719091431652983,7.218285104528115
Brent Oil,tscv_24,PatchTST+XGB,PatchTST,XGB,4.8692760380444815,3.980922174701993,5.951162573178412,7.363989814724792
Brent Oil,tscv_24,PatchTST+NLinear,PatchTST,NLinear,9.520867287192974,9.335148504929315,14.090090028023353,14.398766712431563
WTI Oil,holdout,PatchTST+XGB,PatchTST,XGB,1.7523964432395758,1.420141529991514,2.4315724347470424,2.9816757033826136
WTI Oil,holdout,PatchTST+LGBM,PatchTST,LGBM,2.26844416676292,1.914723369440442,3.255921245849569,3.8597229996730373
WTI Oil,holdout,PatchTST+NLinear,PatchTST,NLinear,2.720996811855387,2.3754398239862358,4.060907906865926,4.629734392688212
WTI Oil,holdout,PatchTST,PatchTST,-,2.8716921855241817,2.599501154145741,4.439740539742957,4.886140262497992
WTI Oil,tscv_01,PatchTST+XGB,PatchTST,XGB,4.197494258906683,3.486471491495768,4.717772985791516,5.635036742669121
WTI Oil,tscv_01,PatchTST+LGBM,PatchTST,LGBM,5.012887752342227,4.280269408922218,5.805703830209506,6.729683217882984
WTI Oil,tscv_01,PatchTST+NLinear,PatchTST,NLinear,9.240897266862987,9.042215459187824,12.111263939812208,12.405685969316119
WTI Oil,tscv_01,PatchTST,PatchTST,-,9.45690613833488,9.267267656962076,12.386862228159396,12.695672769155998
WTI Oil,tscv_02,PatchTST+XGB,PatchTST,XGB,6.225320861215367,5.754034200032554,7.864001247922723,8.442272055947162
WTI Oil,tscv_02,PatchTST+LGBM,PatchTST,LGBM,6.281356874506429,5.879945793946464,8.039681714311934,8.518263523645015
WTI Oil,tscv_02,PatchTST+NLinear,PatchTST,NLinear,8.228185165753752,7.8793133087158225,10.76856146732859,11.158393156692702
WTI Oil,tscv_02,PatchTST,PatchTST,-,9.225326923870316,8.826580841064455,12.067306395655924,12.510635424687546
WTI Oil,tscv_03,PatchTST+NLinear,PatchTST,NLinear,2.0459306771890233,1.6355079294840493,2.207796107587509,2.71255600954689
WTI Oil,tscv_03,PatchTST+XGB,PatchTST,XGB,2.580381773040959,2.155159154256187,2.9054791018444686,3.4211472379916
WTI Oil,tscv_03,PatchTST,PatchTST,-,3.8936721937803735,2.9203049265543632,3.962238653669071,5.162346909503215
WTI Oil,tscv_03,PatchTST+LGBM,PatchTST,LGBM,4.220315038656695,3.3455450985541972,4.523582152713268,5.59541975098488
WTI Oil,tscv_04,PatchTST+LGBM,PatchTST,LGBM,7.292152373922362,5.783191067388607,7.0781323805559335,9.214498768031792
WTI Oil,tscv_04,PatchTST+XGB,PatchTST,XGB,8.86206898495078,7.390971353149414,9.086778613981437,11.198274467778027
WTI Oil,tscv_04,PatchTST,PatchTST,-,14.318699792474117,13.673607995605467,17.073852486392813,18.093374196266428
WTI Oil,tscv_04,PatchTST+NLinear,PatchTST,NLinear,20.741103603707156,20.396223237609863,25.614231617490844,26.208842575402574
WTI Oil,tscv_05,PatchTST+NLinear,PatchTST,NLinear,3.062213953006508,2.4451548963080527,2.95320872465324,3.7775511422741817
WTI Oil,tscv_05,PatchTST+XGB,PatchTST,XGB,4.828591219991856,3.7907653089057085,4.5635570657799445,5.956556451826917
WTI Oil,tscv_05,PatchTST+LGBM,PatchTST,LGBM,5.986619219585881,4.9751320290911325,6.011825433366172,7.385101308516949
WTI Oil,tscv_05,PatchTST,PatchTST,-,7.447772532132641,6.764176167060007,8.220749698830861,9.187581948195813
WTI Oil,tscv_06,PatchTST+XGB,PatchTST,XGB,4.07146740977699,3.700070620998808,4.60492127335815,5.033379268468378
WTI Oil,tscv_06,PatchTST+NLinear,PatchTST,NLinear,4.417800652559303,3.6764259783257387,4.653115850736663,5.461536094681904
